CT#,Station,Picture ID,Date,Date Set,DAY,Time,Date_Corr,Time_Corr,Class,Common Name,Scientific Name,No. of Pics,No. of Inds.
52049,BSLL1011,,18/03/16,28/02/16,20,8:18,18/03/16,8:18,M,Agouti,Dasyprocta leporina,2,1
52049,BSLL1011,,22/03/16,28/02/16,24,9:51,22/03/16,9:51,M,Agouti,Dasyprocta leporina,1,1
52049,BSLL1011,,1/4/2016,28/02/16,34,17:39,1/4/2016,17:39,M,Agouti,Dasyprocta leporina,2,1
52253,BSLL33b,C2662294,26/03/16,23/02/16,33,17:18,26/03/16,17:18,M,Agouti,Dasyprocta leporina,1,1
52253,BSLL33b,C3047974,30/03/16,23/02/16,37,13:19,30/03/16,13:19,M,Agouti,Dasyprocta leporina,2,1
52327,BSLL12B,C0146703,1/3/2016,20/02/16,11,12:58,1/3/2016,12:58,M,Agouti,Dasyprocta leporina,2,1
52327,BSLL12B,C1743291,17/03/16,20/02/16,27,12:01,17/03/16,12:01,M,Agouti,Dasyprocta leporina,2,1
52327,BSLL12B,C1828550,18/03/16,20/02/16,28,7:55,18/03/16,7:55,M,Agouti,Dasyprocta leporina,2,1
52327,BSLL12B,C2734472,27/03/16,20/02/16,37,9:34,27/03/16,9:34,M,Agouti,Dasyprocta leporina,1,1
52327,BSLL12B,D0647295,6/4/2016,20/02/16,47,13:08,6/4/2016,13:08,M,Agouti,Dasyprocta leporina,1,1
52327,BSLL12B,D0930869,9/4/2016,20/02/16,50,8:34,9/4/2016,8:34,M,Agouti,Dasyprocta leporina,1,1
52328,BSLL10,D0425050,4/4/2016,23/02/16,42,6:57,4/4/2016,6:57,M,Agouti,Dasyprocta leporina,1,1
52328,BSLL10,D0624523,6/4/2016,23/02/16,44,6:48,6/4/2016,6:48,M,Agouti,Dasyprocta leporina,3,1
52328,BSLL10,D0929382,9/4/2016,23/02/16,47,8:09,9/4/2016,8:09,M,Agouti,Dasyprocta leporina,1,1
52328,BSLL10,D1429440,14/04/16,23/02/16,52,8:10,14/04/16,8:10,M,Agouti,Dasyprocta leporina,1,1
DD3,BSLL311,PICT0127,1/3/2016,24/02/16,7,13:33,1/3/2016,13:33,M,Agouti,Dasyprocta leporina,3,1
DTL03,BSLL46,cyd00024,27/02/16,26/02/16,2,6:25,27/02/16,6:25,M,Agouti,Dasyprocta leporina,1,1
DTL03,BSLL46,cyd00026,1/3/2016,26/02/16,5,6:24,1/3/2016,6:24,M,Agouti,Dasyprocta leporina,2,1
DTL03,BSLL46,cyd00028,1/3/2016,26/02/16,5,7:53,1/3/2016,7:53,M,Agouti,Dasyprocta leporina,1,1
DTL03,BSLL46,cyd00029,1/3/2016,26/02/16,5,14:46,1/3/2016,14:46,M,Agouti,Dasyprocta leporina,1,1
DTL03,BSLL46,cyd00030,4/3/2016,26/02/16,8,9:31,4/3/2016,9:31,M,Agouti,Dasyprocta leporina,1,1
DTL03,BSLL46,cyd00031,7/3/2016,26/02/16,11,10:21,7/3/2016,10:21,M,Agouti,Dasyprocta leporina,1,1
DTL03,BSLL46,cyd00032,7/3/2016,26/02/16,11,23:30,7/3/2016,23:30,M,Agouti,Dasyprocta leporina,1,1
DTL03,BSLL46,42,13/03/16,26/02/16,17,9:02,13/03/16,9:02,M,Agouti,Dasyprocta leporina,1,1
DTL03,BSLL46,43,16/03/16,26/02/16,20,6:00,16/03/16,6:00,M,Agouti,Dasyprocta leporina,1,1
DTL03,BSLL46,44,16/03/16,26/02/16,20,12:31,16/03/16,12:31,M,Agouti,Dasyprocta leporina,1,1
DTL03,BSLL46,45,17/03/16,26/02/16,21,16:47,17/03/16,16:47,M,Agouti,Dasyprocta leporina,1,1
DTL03,BSLL46,46,24/03/16,26/02/16,28,8:23,24/03/16,8:23,M,Agouti,Dasyprocta leporina,2,1
DTL03,BSLL46,48,26/03/16,26/02/16,30,15:29,26/03/16,15:29,M,Agouti,Dasyprocta leporina,3,1
DTL03,BSLL46,51,3/4/2016,26/02/16,38,6:24,3/4/2016,6:24,M,Agouti,Dasyprocta leporina,1,1
DTL03,BSLL46,52,4/4/2016,26/02/16,39,12:23,4/4/2016,12:23,M,Agouti,Dasyprocta leporina,1,1
DTL03,BSLL46,54,14/04/16,26/02/16,49,13:43,14/04/16,13:43,M,Agouti,Dasyprocta leporina,1,1
DTL04,BSLL43,17,27/03/16,27/02/16,30,10:43,27/03/16,10:43,M,Agouti,Dasyprocta leporina,1,1
DTL04,BSLL43,21,1/4/2016,27/02/16,35,15:47,1/4/2016,15:47,M,Agouti,Dasyprocta leporina,1,1
DTL04,BSLL43,25,9/4/2016,27/02/16,43,9:07,9/4/2016,9:07,M,Agouti,Dasyprocta leporina,1,1
DTL05,BSLL302,Cdy00046,3/4/2016,28/02/16,36,6:41,3/4/2016,6:41,M,Agouti,Dasyprocta leporina,3,1
DTL05,BSLL302,Cdy00047,3/4/2016,28/02/16,36,12:33,3/4/2016,12:33,M,Agouti,Dasyprocta leporina,1,1
DTL05,BSLL302,Cdy00051,10/4/2016,28/02/16,43,9:36,10/4/2016,9:36,M,Agouti,Dasyprocta leporina,1,2
DTL07,BSLL14,Cdy00045,5/3/2016,21/02/16,45,6:01,5/4/2016,6:01,M,Agouti,Dasyprocta leporina,1,1
DTL09,BSLL35,Cdy00031,27/02/16,26/02/16,2,7:53,27/02/16,7:53,M,Agouti,Dasyprocta leporina,2,1
51181,BSLL20,C0673148,6/3/2016,23/02/16,13,20:19,6/3/2016,20:19,M,Armadillo,Dasypus sp.,1,1
51467,BSLL47,K1849952,18/11/86,24/02/16,44,13:52,8/4/2016,23:28,M,Armadillo,Dasypus sp.,1,1
51471,BSLL25,D2306990,23/04/01,22/02/16,7,1:56,29/02/16,23:17,M,Armadillo,Dasypus sp.,1,1
51471,BSLL25,D2727586,27/04/01,24/02/16,9,7:39,4/3/2016,5:00,M,Armadillo,Dasypus sp.,1,1
51471,BSLL25,E0106894,1/5/2001,26/02/16,11,1:54,8/3/2016,23:15,M,Armadillo,Dasypus sp.,1,1
51471,BSLL25,E0421758,4/5/2001,27/02/16,13,6:02,11/3/2016,3:23,M,Armadillo,Dasypus sp.,1,1
51471,BSLL25,F0213937,2/6/2001,12/3/2016,28,3:52,9/4/2016,1:13,M,Armadillo,Dasypus sp.,1,1
51495,BSLL21,C1608901,16/03/16,24/02/16,21,2:28,16/03/16,2:28,M,Armadillo,Dasypus sp.,1,1
51495,BSLL21,C1614048,16/03/16,24/02/16,21,3:54,16/03/16,3:54,M,Armadillo,Dasypus sp.,1,1
51535,BSLL33,C0474384,4/3/2016,25/02/16,8,20:39,4/3/2016,20:39,M,Armadillo,Dasypus sp.,1,1
51535,BSLL33,C1415738,14/03/16,25/02/16,18,4:22,14/03/16,4:22,M,Armadillo,Dasypus sp.,1,1
51535,BSLL33,C1707979,17/03/16,25/02/16,21,2:12,17/03/16,2:12,M,Armadillo,Dasypus sp.,1,1
51535,BSLL33,C2217127,22/03/16,25/02/16,26,4:45,22/03/16,4:45,M,Armadillo,Dasypus sp.,1,1
51535,BSLL33,D0174426,1/4/2016,25/02/16,36,20:40,1/4/2016,20:40,M,Armadillo,Dasypus sp.,1,1
51535,BSLL33,D1083131,10/4/2016,25/02/16,45,23:05,10/4/2016,23:05,M,Armadillo,Dasypus sp.,1,1
51661,BSLL26,B2678298,26/02/16,22/02/16,4,21:44,26/02/16,21:44,M,Armadillo,Dasypus sp.,1,1
51661,BSLL26,C0220402,2/3/2016,22/02/16,9,5:40,2/3/2016,5:40,M,Armadillo,Dasypus sp.,1,1
51661,BSLL26,C0382177,3/3/2016,22/02/16,10,22:49,3/3/2016,22:49,M,Armadillo,Dasypus sp.,1,1
51661,BSLL26,C0421146,4/3/2016,22/02/16,11,5:52,4/3/2016,5:52,M,Armadillo,Dasypus sp.,1,1
51661,BSLL26,C1302230,13/03/16,22/02/16,20,0:37,13/03/16,0:37,M,Armadillo,Dasypus sp.,1,1
51661,BSLL26,C1508278,15/03/16,22/02/16,22,2:17,15/03/16,2:17,M,Armadillo,Dasypus sp.,1,1
51971,BSLL45,C0575972,5/3/2016,26/02/16,9,21:06,5/3/2016,4:06,M,Armadillo,Dasypus sp.,1,1
52049,BSLL1011,,28/02/16,28/02/16,1,21:36,28/02/16,21:36,M,Armadillo,Dasypus sp.,1,1
52049,BSLL1011,,1/3/2016,28/02/16,3,22:33,1/3/2016,22:33,M,Armadillo,Dasypus sp.,1,1
52049,BSLL1011,,7/3/2016,28/02/16,9,20:33,7/3/2016,20:33,M,Armadillo,Dasypus sp.,1,1
52049,BSLL1011,,11/3/2016,28/02/16,13,22:26,11/3/2016,22:26,M,Armadillo,Dasypus sp.,1,1
52049,BSLL1011,,31/03/16,28/02/16,33,21:55,31/03/16,21:55,M,Armadillo,Dasypus sp.,1,1
52246,BSLL42,,9/1/2000,6/1/2000,4,11:31,1/3/2016,20:53,M,Armadillo,Dasypus sp.,2,1
52246,BSLL42,,9/1/2000,6/1/2000,4,13:03,1/3/2016,22:25,M,Armadillo,Dasypus sp.,2,1
52246,BSLL42,,13/01/00,6/1/2000,8,15:14,5/3/2016,0:36,M,Armadillo,Dasypus sp.,1,1
52246,BSLL42,,10/2/2000,6/1/2000,36,13:56,2/4/2016,23:18,M,Armadillo,Dasypus sp.,1,1
52246,BSLL42,,12/2/2000,6/1/2000,38,9:32,4/4/2016,18:54,M,Armadillo,Dasypus sp.,1,1
52246,BSLL42,,15/02/00,6/1/2000,41,8:59,7/4/2016,18:21,M,Armadillo,Dasypus sp.,1,1
52253,BSLL33b,C3083008,30/03/16,23/02/16,37,23:03,30/03/16,23:03,M,Armadillo,Dasypus sp.,1,1
52327,BSLL12B,C0676498,6/3/2016,20/02/16,16,21:14,6/3/2016,21:14,M,Armadillo,Dasypus sp.,2,1
DTL03,BSLL46,cyd00025,29/02/16,26/02/16,4,22:14,29/02/16,22:14,M,Armadillo,Dasypus sp.,1,1
DTL04,BSLL43,12,6/3/2016,27/02/16,9,2:52,6/3/2016,2:52,M,Armadillo,Dasypus sp.,1,1
DTL04,BSLL43,14,17/03/16,27/02/16,20,4:30,17/03/16,4:30,M,Armadillo,Dasypus sp.,1,1
DTL07,BSLL14,Cdy00026,26/01/16,21/02/16,6,0:53,26/02/16,0:53,M,Armadillo,Dasypus sp.,1,1
DTL07,BSLL14,Cdy00036,5/2/2016,21/02/16,14,2:13,5/3/2016,2:13,M,Armadillo,Dasypus sp.,1,1
DTL07,BSLL14,Cdy00040,13/02/16,21/02/16,22,4:57,13/03/16,4:57,M,Armadillo,Dasypus sp.,1,1
51181,BSLL20,C1928108,19/03/16,23/02/16,26,7:48,19/03/16,7:48,M,Brown brocket deer,Mazama nemorivaga,11,1
51471,BSLL25,E0635853,6/5/2001,28/02/16,14,9:57,13/03/16,7:18,M,Brown brocket deer,Mazama nemorivaga,2,1
51471,BSLL25,E2439080,24/05/01,4/3/2016,27,10:51,31/03/16,8:12,M,Brown brocket deer,Mazama nemorivaga,3,1
51495,BSLL21,C1027123,10/3/2016,24/02/16,15,7:32,10/3/2016,7:32,M,Brown brocket deer,Mazama nemorivaga,4,1
51495,BSLL21,C2941876,29/03/16,24/02/16,34,11:37,29/03/16,11:37,M,Brown brocket deer,Mazama nemorivaga,6,1
51497,BSLL17,D1654120,16/04/16,22/02/16,54,15:02,16/04/16,15:02,M,Brown brocket deer,Mazama nemorivaga,10,1
51535,BSLL33,B2651452,26/02/16,25/02/16,1,14:17,26/02/16,14:17,M,Brown brocket deer,Mazama nemorivaga,1,1
51535,BSLL33,C3035791,30/03/16,25/02/16,34,9:56,30/03/16,9:56,M,Brown brocket deer,Mazama nemorivaga,2,1
51590,BSLL13,D1341395,13/04/89,22/02/16,15,11:29,8/3/2016,16:30,M,Brown brocket deer,Mazama nemorivaga,1,1
51590,BSLL13,D1626899,16/04/89,24/02/16,16,7:28,11/3/2016,12:29,M,Brown brocket deer,Mazama nemorivaga,2,1
51590,BSLL13,D2121634,21/04/89,25/02/16,20,6:00,16/03/16,11:01,M,Brown brocket deer,Mazama nemorivaga,1,1
51661,BSLL26,C0829042,8/3/2016,22/02/16,15,8:04,8/3/2016,8:04,M,Brown brocket deer,Mazama nemorivaga,1,1
51661,BSLL26,C1356090,13/03/16,22/02/16,20,15:34,13/03/16,15:34,M,Brown brocket deer,Mazama nemorivaga,1,1
51666,BSLL41,C2111908,21/03/16,22/02/16,28,3:18,21/03/16,3:18,M,Brown brocket deer,Mazama nemorivaga,1,1
51666,BSLL41,D1025412,10/4/2016,27/02/16,43,7:03,10/4/2016,7:03,M,Brown brocket deer,Mazama nemorivaga,1,1
51743,BSLL321,C2431143,24/03/16,23/02/16,31,8:39,24/03/16,8:39,M,Brown brocket deer,Mazama nemorivaga,2,1
51743,BSLL321,C2634186,26/03/16,23/02/16,33,9:29,26/03/16,9:29,M,Brown brocket deer,Mazama nemorivaga,1,1
51971,BSLL45,C0520894,5/3/2016,26/02/16,9,5:48,5/3/2016,12:48,M,Brown brocket deer,Mazama nemorivaga,50,1
51971,BSLL45,C3002544,30/03/16,26/02/16,34,0:42,30/03/16,7:42,M,Brown brocket deer,Mazama nemorivaga,1,1
51971,BSLL45,D0985170,9/4/2016,26/02/16,44,23:39,9/4/2016,6:39,M,Brown brocket deer,Mazama nemorivaga,1,1
51971,BSLL45,D1540315,15/04/16,26/02/16,50,11:11,15/04/16,18:11,M,Brown brocket deer,Mazama nemorivaga,1,1
52246,BSLL42,,15/01/00,6/1/2000,10,7:30,7/3/2016,16:52,M,Brown brocket deer,Mazama nemorivaga,3,1
52246,BSLL42,,29/01/00,6/1/2000,24,2:08,21/03/16,11:30,M,Brown brocket deer,Mazama nemorivaga,6,1
52246,BSLL42,,3/2/2000,6/1/2000,29,23:40,26/03/16,9:02,M,Brown brocket deer,Mazama nemorivaga,3,1
52246,BSLL42,,12/2/2000,6/1/2000,38,22:57,4/4/2016,8:19,M,Brown brocket deer,Mazama nemorivaga,7,1
52246,BSLL42,,13/02/00,6/1/2000,39,19:12,5/4/2016,4:34,M,Brown brocket deer,Mazama nemorivaga,9,1
52253,BSLL33b,C1240444,12/3/2016,23/02/16,19,11:14,12/3/2016,11:14,M,Brown brocket deer,Mazama nemorivaga,1,1
52253,BSLL33b,C1265205,12/3/2016,23/02/16,19,18:06,12/3/2016,18:06,M,Brown brocket deer,Mazama nemorivaga,1,1
52327,BSLL12B,C2123866,21/03/16,20/02/16,31,6:37,21/03/16,6:37,M,Brown brocket deer,Mazama nemorivaga,1,1
52327,BSLL12B,C2361310,23/03/16,20/02/16,33,17:01,23/03/16,17:01,M,Brown brocket deer,Mazama nemorivaga,1,1
52496,BSLL34,C1362573,13/03/16,25/02/16,18,17:22,13/03/16,17:22,M,Brown brocket deer,Mazama nemorivaga,1,1
52496,BSLL34,D0630824,6/4/2016,25/02/16,42,8:33,6/4/2016,8:33,M,Brown brocket deer,Mazama nemorivaga,1,1
DTL06,BSLL2011,Cdy00030,9/3/2016,24/02/16,15,9:42,9/3/2016,9:42,M,Brown brocket deer,Mazama nemorivaga,1,1
DTL06,BSLL2011,Cdy00033,5/4/2016,24/02/16,42,13:01,5/4/2016,13:01,M,Brown brocket deer,Mazama nemorivaga,1,1
52246,BSLL42,,5/2/2000,6/1/2000,31,2:22,28/03/16,11:44,M,Bush deer,Mazama sp.,1,1
52327,BSLL12B,C2642269,26/03/16,20/02/16,36,11:44,26/03/16,11:44,M,Bush deer,Mazama sp.,2,1
DTL06,BSLL2011,Cdy00033,5/4/2016,24/02/16,42,13:37,5/4/2016,13:37,M,Bush deer,Mazama sp.,1,1
51743,BSLL321,D1442486,14/04/16,23/02/16,52,11:48,14/04/16,11:48,M,Coati,Nasua nasua,1,1
52327,BSLL12B,D1531182,15/04/16,20/02/16,56,8:39,15/04/16,8:39,M,Coati,Nasua nasua,1,1
DTL06,BSLL2011,Cdy00036,14/04/16,24/02/16,51,13:54,14/04/16,13:54,M,Coati,Nasua nasua,1,2
51467,BSLL47,J2630338,26/10/86,19/02/16,26,8:25,16/03/16,18:01,M,Collared Peccary,Pecari tajacu,2,1
51495,BSLL21,B2946867,29/02/16,24/02/16,5,13:01,29/02/16,13:01,M,Collared Peccary,Pecari tajacu,3,1
51554,BSLL231,E1516890,15/05/20,24/02/16,12,4:41,7/3/2016,10:20,M,Collared Peccary,Pecari tajacu,3,1
51554,BSLL231,E1736334,17/05/20,24/02/16,14,10:05,9/3/2016,15:44,M,Collared Peccary,Pecari tajacu,1,1
51694,BSLL24,C1636648,16/03/16,24/02/16,21,10:10,16/03/16,10:10,M,Collared Peccary,Pecari tajacu,1,1
51694,BSLL24,C1636648,26/03/16,24/02/16,31,10:04,26/03/16,10:04,M,Collared Peccary,Pecari tajacu,1,1
51742,BSLL44,C1741313,17/03/16,26/02/16,21,11:28,17/03/16,11:28,M,Collared Peccary,Pecari tajacu,4,3
51743,BSLL321,C1839181,18/03/16,23/02/16,25,10:53,18/03/16,10:53,M,Collared Peccary,Pecari tajacu,10,4
51743,BSLL321,C2442524,24/03/16,23/02/16,31,11:48,24/03/16,11:48,M,Collared Peccary,Pecari tajacu,11,1
51743,BSLL321,C2443271,24/03/16,23/02/16,31,12:01,24/03/16,12:01,M,Collared Peccary,Pecari tajacu,1,1
51743,BSLL321,C2447721,24/03/16,23/02/16,31,13:15,24/03/16,13:15,M,Collared Peccary,Pecari tajacu,12,4
