id_station,id_pic,date_dayno,name_order,name_com,name_sci,name_code,count_pic,count_ind
BSLL46,51,38,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL46,52,39,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL46,54,49,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL43,17,30,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL43,21,35,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL43,25,43,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL302,Cdy00046,36,M,Agouti,Dasyprocta leporina,DASLEP,3,1
BSLL302,Cdy00047,36,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL302,Cdy00051,43,M,Agouti,Dasyprocta leporina,DASLEP,1,2
BSLL14,Cdy00045,45,M,Agouti,Dasyprocta leporina,DASLEP,1,1
BSLL35,Cdy00031,2,M,Agouti,Dasyprocta leporina,DASLEP,2,1
BSLL20,C0673148,13,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL47,K1849952,44,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL25,D2306990,7,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL25,D2727586,9,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL25,E0106894,11,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL25,E0421758,13,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL25,F0213937,28,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL21,C1608901,21,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL21,C1614048,21,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL33,C0474384,8,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL33,C1415738,18,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL33,C1707979,21,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL33,C2217127,26,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL33,D0174426,36,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL33,D1083131,45,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL26,B2678298,4,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL26,C0220402,9,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL26,C0382177,10,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL26,C0421146,11,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL26,C1302230,20,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL26,C1508278,22,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL45,C0575972,9,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL1011,NA,1,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL1011,NA,3,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL1011,NA,9,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL1011,NA,13,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL1011,NA,33,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL42,NA,4,M,Armadillo,Dasypus sp.,DASSP.,2,1
BSLL42,NA,4,M,Armadillo,Dasypus sp.,DASSP.,2,1
BSLL42,NA,8,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL42,NA,36,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL42,NA,38,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL42,NA,41,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL33b,C3083008,37,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL12B,C0676498,16,M,Armadillo,Dasypus sp.,DASSP.,2,1
BSLL46,cyd00025,4,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL43,12,9,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL43,14,20,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL14,Cdy00026,6,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL14,Cdy00036,14,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL14,Cdy00040,22,M,Armadillo,Dasypus sp.,DASSP.,1,1
BSLL20,C1928108,26,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,11,1
BSLL25,E0635853,14,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,2,1
BSLL25,E2439080,27,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,3,1
BSLL21,C1027123,15,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,4,1
BSLL21,C2941876,34,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,6,1
BSLL17,D1654120,54,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,10,1
BSLL33,B2651452,1,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL33,C3035791,34,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,2,1
BSLL13,D1341395,15,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL13,D1626899,16,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,2,1
BSLL13,D2121634,20,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL26,C0829042,15,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL26,C1356090,20,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL41,C2111908,28,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL41,D1025412,43,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL321,C2431143,31,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,2,1
BSLL321,C2634186,33,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL45,C0520894,9,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,50,1
BSLL45,C3002544,34,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL45,D0985170,44,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL45,D1540315,50,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL42,NA,10,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,3,1
BSLL42,NA,24,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,6,1
BSLL42,NA,29,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,3,1
BSLL42,NA,38,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,7,1
BSLL42,NA,39,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,9,1
BSLL33b,C1240444,19,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL33b,C1265205,19,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL12B,C2123866,31,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL12B,C2361310,33,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL34,C1362573,18,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL34,D0630824,42,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL2011,Cdy00030,15,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL2011,Cdy00033,42,M,Brown brocket deer,Mazama nemorivaga,MAZNEM,1,1
BSLL42,NA,31,M,Bush deer,Mazama sp.,MAZSP.,1,1
BSLL12B,C2642269,36,M,Bush deer,Mazama sp.,MAZSP.,2,1
BSLL2011,Cdy00033,42,M,Bush deer,Mazama sp.,MAZSP.,1,1
BSLL321,D1442486,52,M,Coati,Nasua nasua,NASNAS,1,1
BSLL12B,D1531182,56,M,Coati,Nasua nasua,NASNAS,1,1
BSLL2011,Cdy00036,51,M,Coati,Nasua nasua,NASNAS,1,2
BSLL47,J2630338,26,M,Collared Peccary,Pecari tajacu,PECTAJ,2,1
BSLL21,B2946867,5,M,Collared Peccary,Pecari tajacu,PECTAJ,3,1
BSLL231,E1516890,12,M,Collared Peccary,Pecari tajacu,PECTAJ,3,1
BSLL231,E1736334,14,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1
BSLL24,C1636648,21,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1
BSLL24,C1636648,31,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1
BSLL44,C1741313,21,M,Collared Peccary,Pecari tajacu,PECTAJ,4,3
BSLL321,C1839181,25,M,Collared Peccary,Pecari tajacu,PECTAJ,10,4
BSLL321,C2442524,31,M,Collared Peccary,Pecari tajacu,PECTAJ,11,1
BSLL321,C2443271,31,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1
BSLL321,C2447721,31,M,Collared Peccary,Pecari tajacu,PECTAJ,12,4
BSLL321,C2516581,32,M,Collared Peccary,Pecari tajacu,PECTAJ,2,1
BSLL321,D0949783,47,M,Collared Peccary,Pecari tajacu,PECTAJ,11,2
BSLL1011,NA,47,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1
BSLL42,B2100230,47,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1
BSLL33b,C0731228,14,M,Collared Peccary,Pecari tajacu,PECTAJ,2,1
BSLL34,D0756132,43,M,Collared Peccary,Pecari tajacu,PECTAJ,7,1
BSLL34,D1734285,53,M,Collared Peccary,Pecari tajacu,PECTAJ,4,1
BSLL34,D1737800,53,M,Collared Peccary,Pecari tajacu,PECTAJ,108,5
BSLL46,cyd00033,13,M,Collared Peccary,Pecari tajacu,PECTAJ,9,1
BSLL43,18,32,M,Collared Peccary,Pecari tajacu,PECTAJ,3,1
BSLL43,22,37,M,Collared Peccary,Pecari tajacu,PECTAJ,3,1
BSLL43,26,52,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1
BSLL43,27,52,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1
BSLL43,28,52,M,Collared Peccary,Pecari tajacu,PECTAJ,6,4
BSLL43,34,52,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1
BSLL302,Cdy00032,10,M,Collared Peccary,Pecari tajacu,PECTAJ,2,1
