Camera #,Station ID,Date Started,Date Captured,Day,Time,Class,Common Name,Scientific Name,No. of Pics,No. of Inds.,Comments
53,CT6R,24/09/2014,22/10/2014,29,18:50,M,Ocelot,Leopardus pardalis,1,1,Right side of animal captured. 
53,CT6R,24/09/2014,24/10/2014,31,19:32,M,Ocelot,Leopardus pardalis,1,1,"Left side of male animal, mouth open. Bulging stomach. May have just eaten"
53,CT6R,24/09/2014,24/10/2014,31,23:00,M,Ocelot,Leopardus pardalis,1,1,"Right side of male animal, mouth open"
53,CT6R,24/09/2014,26/10/2014,33,1:04,M,Ocelot,Leopardus pardalis,1,1,Left side of animal.
53,CT6R,24/09/2014,26/10/2014,33,6:24,M,Puma,Puma concolor,1,1,Right side of animal except hind quarters.
53,CT6R,24/09/2014,02/11/2014,40,18:59,M,Ocelot,Leopardus pardalis,1,1,Left side of male animal.
53,CT6R,24/09/2014,04/11/2014,42,22:10,M,Ocelot,Leopardus pardalis,1,1,Right side of animal.
53,CT6R,24/09/2014,06/11/2014,44,14:20,M,Puma,Puma concolor,1,1,Right side of animal.
53,CT6R,24/09/2014,07/11/2014,45,18:55,M,Tapir,Tapirus terrestris,1,1,Large animal walking along trail.
53,CT6R,24/09/2014,09/11/2014,47,15:58,M,Agouti,Dasyprocta leporina,2,1,Animal appears to be fetching an item in its mouth.
53,CT6R,24/09/2014,13/11/2014,51,9:26,M,Agouti,Dasyprocta leporina,1,1,Animal walking along trail.
55,CT3B,20/09/2014,20/10/2014,31,6:43,M,Jaguar,Panthera onca,1,1,"Left side, sex could not be determined. Name: 4 Leaf Clover"
57,CT2D,19/09/2014,22/09/2014,4,11:11,M,Collared Peccary,Pecari tajacu,2,1,Peccary foraging in front of camera.
57,CT2D,19/09/2014,16/10/2014,28,20:47,M,Lowland Paca,Cuniculus paca,1,1,Walking passed camera.
57,CT2D,19/09/2014,07/11/2014,50,9:53,M,Agouti,Dasyprocta leporina,1,1,Animal has an injury on the left side of its mouth that appears to be healing well.
59,CT1A,18/09/2014,22/09/2014,5,7:39,M,Collared Peccary,Pecari tajacu,1,1,"Appears to be healthy, just walking"
59,CT1A,18/09/2014,22/09/2014,5,11:15,M,Giant Anteater,Myrmecophaga tridactyla,1,1,Only snout is visible
59,CT1A,18/09/2014,27/09/2014,10,10:08,M,Collared Peccary,Pecari tajacu,1,1,Appears to be foraging
59,CT1A,18/09/2014,01/10/2014,14,7:13,M,Tapir,Tapirus terrestris,5,1,"Female, appears to be foraging"
59,CT1A,18/09/2014,06/10/2014,19,20:30,M,Red Brocket deer,Mazama americana,1,1,Appears to be walking
59,CT1A,18/09/2014,16/10/2014,29,16:17,M,Ocelot,Leopardus pardalis,1,1,"Only the body is visible, appears to be an ocelot"
59,CT1A,18/09/2014,30/10/2014,43,10:30,B,Black Curassow,Crax alector,1,1,Just walking around
59,CT1A,18/09/2014,06/11/2014,50,22:45,M,Jaguarundi,Herpailurus yagouaroundi,1,1,"Appears to be healthy, just walking. Right"
59,CT1A,18/09/2014,08/11/2014,52,15:59,M,Collared Peccary,Pecari tajacu,3,2,Appears to be eating
60,CT1C,18/09/2014,20/09/2014,3,17:37,M,Ocelot,Leopardus pardalis,1,1,Right side of male animal.
60,CT1C,18/09/2014,20/09/2014,3,21:34,M,Armadillo,Dasypus sp.,1,1,Walking passed.
60,CT1C,18/09/2014,22/09/2014,5,21:02,M,Armadillo,Dasypus sp.,1,1,Walking passed.
60,CT1C,18/09/2014,23/09/2014,6,10:32,M,Collared Peccary,Pecari tajacu,2,2,Each picture shows one individual going in the same direction towards the right of the camera.
60,CT1C,18/09/2014,27/09/2014,10,11:39,B,Grey-winged trumpeter,Psophia crepitans,1,5,Group walking passed.
60,CT1C,18/09/2014,17/10/2014,30,3:30,M,Red Brocket Deer,Mazama americana,1,1,Foraging while walking passed
60,CT1C,18/09/2014,19/10/2014,32,9:20,B,Black Curassow,Crax alector,1,2,Observing camera trap.
60,CT1C,18/09/2014,22/10/2014,35,19:42,M,Lowland Paca,Cuniculus paca,1,1,Walking passed.
60,CT1C,18/09/2014,01/11/2014,45,7:25,M,Agouti,Dasyprocta leporina,3,1,Animal appears to be foraging.
60,CT1C,18/09/2014,01/11/2014,45,11:30,B,Grey-winged trumpeter,Psophia crepitans,1,2,Walking passed.
60,CT1C,18/09/2014,02/11/2014,46,5:49,M,Agouti,Dasyprocta leporina,1,1,Foraging at the center of the picture.
60,CT1C,18/09/2014,02/11/2014,46,17:23,M,Agouti,Dasyprocta leporina,2,1,
60,CT1C,18/09/2014,03/11/2014,47,16:31,M,Agouti,Dasyprocta leporina,4,1,Foraging at the center of the picture.
60,CT1C,18/09/2014,04/11/2014,48,12:25,M,Agouti,Dasyprocta leporina,1,1,Looking at the camera.
60,CT1C,18/09/2014,07/11/2014,51,15:45,M,Agouti,Dasyprocta leporina,2,1,Animal appears to be foraging.
60,CT1C,18/09/2014,08/11/2014,52,16:17,M,Agouti,Dasyprocta leporina,1,1,Walking passed.
