id_ct,id_station,date_set,date_capt,date_dayno,time,name_order,name_com,name_sci,name_code,count_pic,count_ind,comments
9,CT7R,2014-09-24T00:00:00Z,2014-10-06T00:00:00Z,13,07:36:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Right side of body
9,CT7R,2014-09-24T00:00:00Z,2014-10-11T00:00:00Z,18,21:08:00,M,Ocelot,Leopardus pardalis,LEOPAR,1,1,Male- right side of body
9,CT7R,2014-09-24T00:00:00Z,2014-10-13T00:00:00Z,20,00:54:00,M,Ocelot,Leopardus pardalis,LEOPAR,1,1,Left side of body
9,CT7R,2014-09-24T00:00:00Z,2014-10-22T00:00:00Z,29,08:14:00,M,Puma,Puma concolor,PUMCON,1,1,Right side of upper body
9,CT7R,2014-09-24T00:00:00Z,2014-10-22T00:00:00Z,29,08:24:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,Right side of body
9,CT7R,2014-09-24T00:00:00Z,2014-10-25T00:00:00Z,32,01:31:00,M,Jaguar,Panthera onca,PANONC,1,1,Left side of body. Injury on shoulder
9,CT7R,2014-09-24T00:00:00Z,2014-10-25T00:00:00Z,32,03:16:00,M,Ocelot,Leopardus pardalis,LEOPAR,1,1,"Male, right side of body, white marks on right-front leg"
9,CT7R,2014-09-24T00:00:00Z,2014-10-26T00:00:00Z,33,22:27:00,M,Tapir,Tapirus terrestris,TAPTER,2,1,Right side of upper body
9,CT7R,2014-09-24T00:00:00Z,2014-10-27T00:00:00Z,34,01:39:00,M,Jaguar,Panthera onca,PANONC,1,1,Right side of body
9,CT7R,2014-09-24T00:00:00Z,2014-10-31T00:00:00Z,38,16:40:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,Left side of body
9,CT7R,2014-09-24T00:00:00Z,2014-11-01T00:00:00Z,39,02:52:00,M,Tapir,Tapirus terrestris,TAPTER,1,1,Right side of body
9,CT7R,2014-09-24T00:00:00Z,2014-11-02T00:00:00Z,40,05:15:00,M,Puma,Puma concolor,PUMCON,1,1,Right side of body
9,CT7R,2014-09-24T00:00:00Z,2014-11-08T00:00:00Z,46,21:01:00,M,Tapir,Tapirus terrestris,TAPTER,1,1,Left side of body
12,CT4C,2014-09-21T00:00:00Z,2014-09-22T00:00:00Z,2,11:43:00,M,Collared Peccary,Pecari tajacu,PECTAJ,5,2,Peccaries observed sniffing around
12,CT4C,2014-09-21T00:00:00Z,2014-09-27T00:00:00Z,7,06:32:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Left side of body
12,CT4C,2014-09-21T00:00:00Z,2014-10-06T00:00:00Z,16,12:41:00,M,Agouti,Dasyprocta leporina,DASLEP,1,1,Left side of body
12,CT4C,2014-09-21T00:00:00Z,2014-10-07T00:00:00Z,17,21:12:00,M,Red Brocket deer,Mazama americana,MAZAME,2,1,Right anterior region shown
12,CT4C,2014-09-21T00:00:00Z,2014-10-21T00:00:00Z,31,17:48:00,M,Acouchi,Myoprocta acouchy,MYOACO,1,1,"Female, Left side of body"
12,CT4C,2014-09-21T00:00:00Z,2014-10-26T00:00:00Z,36,11:42:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,"Male, righ side of body"
12,CT4C,2014-09-21T00:00:00Z,2014-11-01T00:00:00Z,42,00:54:00,M,Lowland Paca,Cuniculus paca,CUNPAC,1,1,Right side of body
12,CT4C,2014-09-21T00:00:00Z,2014-11-08T00:00:00Z,49,16:37:00,M,Collared Peccary,Pecari tajacu,PECTAJ,6,3,"Peccaries observed sniffing around, one appears to be giving birth"
12,CT4C,2014-09-21T00:00:00Z,2014-11-09T00:00:00Z,50,04:04:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,Head and posterior of peccary
12,CT4C,2014-09-21T00:00:00Z,2014-11-09T00:00:00Z,50,06:02:00,M,Collared Peccary,Pecari tajacu,PECTAJ,1,1,Head region of peccary
